	Train Loss: 1.701 | Train PPL:   5.482
	 Val. Loss: 5.496 |  Val. PPL: 243.759
Epoch: 80 | Time: 6m 8s
	Train Loss: 1.691 | Train PPL:   5.426
	 Val. Loss: 5.422 |  Val. PPL: 226.398
Epoch: 81 | Time: 6m 10s
	Train Loss: 1.700 | Train PPL:   5.474
	 Val. Loss: 5.633 |  Val. PPL: 279.429
Epoch: 82 | Time: 6m 15s
	Train Loss: 1.700 | Train PPL:   5.475
	 Val. Loss: 5.037 |  Val. PPL: 153.993
Epoch: 83 | Time: 6m 33s
	Train Loss: 1.701 | Train PPL:   5.479
	 Val. Loss: 4.815 |  Val. PPL: 123.389
Epoch: 84 | Time: 6m 57s
	Train Loss: 1.692 | Train PPL:   5.430
	 Val. Loss: 4.987 |  Val. PPL: 146.544
Epoch: 85 | Time: 6m 51s
	Train Loss: 1.689 | Train PPL:   5.414
	 Val. Loss: 4.944 |  Val. PPL: 140.391
Epoch: 86 | Time: 6m 27s
	Train Loss: 1.694 | Train PPL:   5.439
	 Val. Loss: 4.831 |  Val. PPL: 125.350
Epoch: 87 | Time: 6m 10s
	Train Loss: 1.692 | Train PPL:   5.429
	 Val. Loss: 4.904 |  Val. PPL: 134.764
Epoch: 88 | Time: 6m 20s
	Train Loss: 1.682 | Train PPL:   5.378
	 Val. Loss: 4.876 |  Val. PPL: 131.061
Epoch: 89 | Time: 6m 29s
	Train Loss: 1.688 | Train PPL:   5.411
	 Val. Loss: 4.415 |  Val. PPL:  82.721
Epoch: 90 | Time: 6m 30s
	Train Loss: 1.685 | Train PPL:   5.390
	 Val. Loss: 4.742 |  Val. PPL: 114.628
Epoch: 91 | Time: 6m 16s
	Train Loss: 1.685 | Train PPL:   5.393
	 Val. Loss: 5.553 |  Val. PPL: 258.061
Epoch: 92 | Time: 6m 48s
	Train Loss: 1.686 | Train PPL:   5.397
	 Val. Loss: 5.612 |  Val. PPL: 273.726
Epoch: 93 | Time: 6m 22s
	Train Loss: 1.677 | Train PPL:   5.349
	 Val. Loss: 5.044 |  Val. PPL: 155.050
Epoch: 94 | Time: 6m 11s
	Train Loss: 1.676 | Train PPL:   5.344
	 Val. Loss: 4.804 |  Val. PPL: 122.026
Epoch: 95 | Time: 6m 45s
	Train Loss: 1.675 | Train PPL:   5.341
	 Val. Loss: 5.048 |  Val. PPL: 155.718
Epoch: 96 | Time: 6m 26s
	Train Loss: 1.680 | Train PPL:   5.364
	 Val. Loss: 4.809 |  Val. PPL: 122.656
Epoch: 97 | Time: 6m 43s
	Train Loss: 1.684 | Train PPL:   5.386
	 Val. Loss: 4.424 |  Val. PPL:  83.437
Epoch: 98 | Time: 6m 45s
	Train Loss: 1.657 | Train PPL:   5.246
	 Val. Loss: 4.992 |  Val. PPL: 147.217
Epoch: 99 | Time: 6m 44s
	Train Loss: 1.676 | Train PPL:   5.342
	 Val. Loss: 4.805 |  Val. PPL: 122.099
Epoch: 100 | Time: 6m 20s
	Train Loss: 1.682 | Train PPL:   5.379
	 Val. Loss: 4.733 |  Val. PPL: 113.611
